Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Due Date,Votes,Labels,Labels,Description,Environment,Watchers,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Custom field ( when figure it out why),Custom field (BusinessValue),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Estimated Time(h)),Custom field (Rank),Sprint,Sprint,Sprint,Sprint,Custom field (Story Points),Custom field (effect),Custom field (how to avoid),Custom field (reason),Custom field (solved time(actual)),Custom field (solved time(estimated)),Custom field (spokesperson(dev)),Custom field (spokesperson(mkt)),Custom field (when found (dev)),Custom field (when found (mkt)),Comment,Comment,Comment,Comment
"投资 -- 完善 企业管理, 添加 企业信息修改功能, 满足企业信息修改需求",KINVEST-731,19361,,Story,To Do,KINVEST,KINVEST,software,admin,,,Medium,,Alex,Alex,Alex,19/Oct/17 5:52 PM,24/Nov/17 2:09 PM,27/Nov/17 12:34 PM,,,0,,,"投资 -- 完善 企业管理, 添加 企业信息修改功能, 满足企业信息修改需求",,Alex,,,,,,,,,,,,,,KINVEST-16,,,,0|hzzxqe:,sprint 11-27,,,,5.0,,,,,,,,,,,,,
Wap - 用户在【余额自动投资】界面设置“余额保留金额”，不需要设置投资上限（余额自动投资范围→余额保留金额）,KAPP-1822,21229,,Story,To Do,KAPP,KAPP,software,admin,,,Medium,,brady_z,Lynn,Lynn,24/Nov/17 4:35 PM,24/Nov/17 4:35 PM,27/Nov/17 12:34 PM,,,0,,,,,Lynn,,,,,,,,,,,,,,,,,,0|i013o1:,Sprint 11.27-12.01,,,,4.0,,,,,,,,,,,,,
Wap- 用户的VIP等级升级后，可以在购买成功页看到popup，以便加强用户的荣誉感,KAPP-1820,21226,,Story,To Do,KAPP,KAPP,software,admin,,,Medium,,brady_z,Lynn,Lynn,24/Nov/17 4:34 PM,24/Nov/17 4:34 PM,27/Nov/17 12:34 PM,,,0,,,,,Lynn,,,,,,,,,,,,,,,,,,0|i013nl:,Sprint 11.27-12.01,,,,4.0,,,,,,,,,,,,,
Wap- 推广可以在充值并购买完成页可配置button文案和跳转链接，以完善活动闭环,KAPP-1819,21225,,Story,To Do,KAPP,KAPP,software,admin,,,Medium,,brady_z,Lynn,Lynn,24/Nov/17 4:33 PM,24/Nov/17 4:34 PM,27/Nov/17 12:34 PM,,,0,,,,,Lynn,,,,,,,,,,,,,,,,,,0|i013nd:,Sprint 11.27-12.01,,,,4.0,,,,,,,,,,,,,
WAP-用户参与21天转赚转活动后的订单，可以看到更清晰的订单进度和展示,KAPP-1794,21124,,Story,To Do,KAPP,KAPP,software,admin,,,Medium,,brady_z,juna,juna,24/Nov/17 11:10 AM,24/Nov/17 4:17 PM,27/Nov/17 12:34 PM,,,0,,,,,juna,,,,,,,,,,,,,,KAPP-1714,,,,0|i012t0:,Sprint 11.27-12.01,,,,5.0,,,,,,,,,,,,,
用户在转赚转的产品的进行中的订单，还是可以看到已经刚结束上一轮的订单,KAPP-1761,20946,,Story,To Do,KAPP,KAPP,software,admin,,,Medium,,brady_z,juna,juna,21/Nov/17 3:25 PM,24/Nov/17 3:31 PM,27/Nov/17 12:34 PM,,,0,,,"父订单显示：已结算---投资中，查看已结算订单
（时间取最近一笔本金回款的月份）
投资本金（取购买本金）
已获收益（累计每一笔本金带来的收益）

子订单显示：跟普通订单一样即可",,juna,,,,,,,,,,,,,,KAPP-1714,,,,0|i012sw:,Sprint 11.27-12.01,,,,5.0,,,,,,,,,,,,,
用户在转赚转产品的订单结束后可以看到已结算的订单的明细,KAPP-1760,20945,,Story,To Do,KAPP,KAPP,software,admin,,,Medium,,brady_z,juna,juna,21/Nov/17 3:24 PM,24/Nov/17 3:29 PM,27/Nov/17 12:34 PM,,,0,,,"父订单显示：
（时间取最后一笔本金回款的月份）
投资本金（取购买本金）
已获收益（累计每一笔本金带来的收益）

子订单显示：跟原来的保持一致即可",,juna,,,,,,,,,,,,,,KAPP-1714,,,,0|i012sv:,Sprint 11.27-12.01,,,,4.0,,,,,,,,,,,,,
11-25 反馈回款日历点击之后黑屏闪退，其他页面正常（三星）,KAPP-1826,21257,,Bug,Done,KAPP,KAPP,software,admin,,,Highest,Done,duke,cici,cici,25/Nov/17 10:15 AM,27/Nov/17 11:57 AM,27/Nov/17 12:34 PM,27/Nov/17 11:57 AM,,0,界面显示,,"13611222181
问题原因：api不兼容android低版本
如何解决：改api实现方式
解决时间：已修复
影响范围：周五晚上升级的android 4.3以下用户
如何避免：上线前测试各个版本的显示状态",,cici,,,,,,,,,,,,,,,,,,0|i013sp:,Sprint 11.27-12.01,,,,,,,,,,,,,,,,,
Android-用户参与21天转赚转活动后的订单，可以看到更清晰的订单进度和展示,KAPP-1793,21123,,Story,In Progress,KAPP,KAPP,software,admin,,,Highest,,duke,juna,juna,24/Nov/17 11:09 AM,27/Nov/17 9:59 AM,27/Nov/17 12:34 PM,,,0,,,,,juna,,,,,,,,,,,,,,KAPP-1714,,,,0|i012tb:,Sprint 11.27-12.01,,,,8.0,,,,,,,,,,,,,
android - 用户可以使用app 3.9.0,KAPP-1705,20695,,Story,Done,KAPP,KAPP,software,admin,,,Medium,Done,duke,duke,duke,16/Nov/17 3:06 PM,27/Nov/17 9:14 AM,27/Nov/17 12:34 PM,27/Nov/17 9:13 AM,,0,,,,,duke,,,,,,,,,,,,,,,,,,0|i011c4:r,Sprint 11.20-11.24,Sprint 11.27-12.01,,,1.0,,,,,,,,,,,,,
android - 【资金规划功能】用户可以在汇总回款金额的页面，看到投资建议（某段时间可以继续投资短期产品哦）,KAPP-1803,21161,,Story,To Do,KAPP,KAPP,software,admin,,,High,,duke,duke,duke,24/Nov/17 2:26 PM,24/Nov/17 4:29 PM,27/Nov/17 12:34 PM,,,0,,,,,duke,,,,,,,,,,,,,,KAPP-1810,,,,0|i013bl:,Sprint 11.27-12.01,,,,8.0,,,,,,,,,,,,,
android - 用户在【余额自动投资】界面设置“余额保留金额”，不需要设置投资上限（余额自动投资范围→余额保留金额）,KAPP-1802,21156,,Story,To Do,KAPP,KAPP,software,admin,,,Medium,,duke,duke,duke,24/Nov/17 2:22 PM,24/Nov/17 3:28 PM,27/Nov/17 12:34 PM,,,0,,,,,duke,,,,,,,,,,,,,,,,,,0|i013ah:,Sprint 11.27-12.01,,,,4.0,,,,,,,,,,,,,
android - 用户可以在APP更换银行卡，无需解绑后再次绑定,KAPP-1801,21153,,Story,To Do,KAPP,KAPP,software,admin,,,Lowest,,duke,duke,duke,24/Nov/17 2:15 PM,24/Nov/17 3:02 PM,27/Nov/17 12:34 PM,,,0,,,,,duke,,,,,,,,,,,,,,,,,,0|i013a1:,Sprint 11.27-12.01,,,,4.0,,,,,,,,,,,,,
android - 用户的VIP等级升级后，可以在购买成功页看到popup，以便加强用户的荣誉感,KAPP-1799,21151,,Story,To Do,KAPP,KAPP,software,admin,,,Medium,,duke,duke,duke,24/Nov/17 2:13 PM,24/Nov/17 2:13 PM,27/Nov/17 12:34 PM,,,0,,,,,duke,,,,,,,,,,,,,,,,,,0|i0139l:,Sprint 11.27-12.01,,,,4.0,,,,,,,,,,,,,
android - 推广可以在充值并购买完成页可配置button文案和跳转链接，以完善活动闭环,KAPP-1798,21150,,Story,To Do,KAPP,KAPP,software,admin,,,Medium,,duke,duke,duke,24/Nov/17 2:12 PM,24/Nov/17 2:12 PM,27/Nov/17 12:34 PM,,,0,,,,,duke,,,,,,,,,,,,,,,,,,0|i0139d:,Sprint 11.27-12.01,,,,4.0,,,,,,,,,,,,,
整体流程自测调整,KAC-892,21184,,Story,In Progress,KAC,KActivity,software,admin,,,Highest,,Fernando,Fernando,Fernando,24/Nov/17 2:56 PM,27/Nov/17 10:26 AM,27/Nov/17 12:34 PM,,,0,,,,,Fernando,,,,,,,,,,,,,,KAC-875,,,,0|i013n7:,KAC——2017-11-27,,,,3.0,,,,,,,,,,,,,
自测报名 + 创建战队 + 组队 等逻辑,KAC-906,21269,,Story,In Progress,KAC,KActivity,software,admin,,,Highest,,Fernando,Fernando,Fernando,27/Nov/17 10:06 AM,27/Nov/17 10:25 AM,27/Nov/17 12:34 PM,,,0,,,,,Fernando,,,,,,,,,,,,,,KAC-875,,,,0|i013n9:,KAC——2017-11-27,,,,3.0,,,,,,,,,,,,,
用户可以在查看我的战队页面查看当前所属战队,KAC-905,21268,,Story,In Progress,KAC,KActivity,software,admin,,,Highest,,Fernando,Fernando,Fernando,27/Nov/17 10:05 AM,27/Nov/17 10:25 AM,27/Nov/17 12:34 PM,,,0,,,,,Fernando,,,,,,,,,,,,,,KAC-875,,,,0|i013bg:,KAC——2017-11-27,,,,1.0,,,,,,,,,,,,,
查看我的奖励,KAC-890,21182,,Story,In Progress,KAC,KActivity,software,admin,,,Highest,,Fernando,Fernando,Fernando,24/Nov/17 2:55 PM,27/Nov/17 10:25 AM,27/Nov/17 12:34 PM,,,0,,,,,Fernando,,,,,,,,,,,,,,KAC-875,,,,0|i013bf:,KAC——2017-11-27,,,,2.0,,,,,,,,,,,,,
用户选择皮肤页,KAC-891,21183,,Story,In Progress,KAC,KActivity,software,admin,,,Highest,,Fernando,Fernando,Fernando,24/Nov/17 2:56 PM,27/Nov/17 10:25 AM,27/Nov/17 12:34 PM,,,0,,,,,Fernando,,,,,,,,,,,,,,KAC-875,,,,0|i013be:,KAC——2017-11-27,,,,2.0,,,,,,,,,,,,,
